Name,Description,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,ingredients_raw,ingredients,iscurry,isomelette
Easy Omelet for One,"This is so easy to do and it is fail proof! The filling is as good as your imagination, try different combinations. Blue cheese adds some zest. I usually make my filling and keep it warm in the oven while I cook the omelette.  I often use  3 tbsp whipped cottage cheese instead of the sour cream. I think my favorite omelette is filled with cheddar cheese, jalapeno pepper, crumbled bacon and mushrooms - I fry the mushrooms  and jalapeno for just a minute or two and I add the ceddar to the omelette in the last minute of cooking

This is a new favorite filling that I just had.  I didn't want to make a new recipe because this is the base recipe. - 3/4 cup fried mushrooms, 1/2 cup chopped, cooked chicken, 1tsp hot cajun spice, 1/4 cup shredded lite gouda cheese (or your own favorite), 4 tbsp hot salsa. Fry the mushrooms in a bit of butter or Pam, add chicken &amp; Cajun spice - heat-remove from pan and keep warm-Cook your omelet-add cheese &amp; chicken/ mushrooms when it is just about cooked to one side of the omelet. flip closed, after 1-2 minutes served with the salsa on top!","c(""2"", ""1/4"", ""3"", ""2"", NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(""flour"", ""milk"", ""sour cream"", ""eggs"", ""salsa"", ""parmesan cheese"", ""mushroom"", ""cheddar cheese"", ""bacon"", ""tomatoes"", ""sausage"", ""shrimp"")",4.5,44.0,308.4,19.0,8.7,399.3,201.0,16.5,0.4,1.7,16.9,1.0,,"c(""Whip the milk and flour together."", ""Add sour cream or whipped cottage cheese."", ""Add eggs and whisk until well blended."", ""Keep in fridge until ready to cook."", ""Heat non-stick skillet over medium heat (5-6 on electric stove)."", ""Spray skillet with lite olive oil or other veggie spray."", ""Pour in egg mixture. You do not have lift the egg mixture to let the uncooked run under it will cook perfectly just by leaving it to cook."", ""Cover with lid and cook 5 minutes (you do not have to flip it) or until it has risen and is  firm on top."", 
""Meanwhile have your filling ready and warm."", ""Place omelette on a warmed plate  put filling on it, flip half over and enjoy or place filling on half the omelete in the pan, flip half over and slide onto a warmed plate."")","[""2   tablespoons    flour"",""1/4  cup    milk"",""3   tablespoons    sour cream"",""2       eggs"",""  salt \u0026 pepper"",""  salsa"",""  parmesan cheese"",""  mushroom"",""  cheddar cheese"","" stir fry mixed pepper"",""  bacon"",""  tomatoes"",""  sausage"",""  shrimp"",""  hot pepper""]","[""milk"", ""sour cream"", ""salt pepper"", ""salsa"", ""parmesan cheese"", ""cheddar cheese"", ""mixed pepper"", ""tomatoes"", ""sausage"", ""pepper""]",0,1
2 Egg Vegetable Omelets,Make and share this 2 Egg Vegetable Omelets recipe from Food.com.,"c(""6"", ""1/4"", ""1"", ""1"", ""3"", ""1"", ""5"", NA, ""1"")","c(""eggs"", ""milk"", ""salt"", ""pepper"", ""bacon bits"", ""roma tomato"", ""mushrooms"", ""medium cheddar"")",,,327.5,23.6,11.8,416.3,479.6,4.0,0.6,1.7,24.4,3.0,,"c(""Whisk eggs, milk, salt, pepper and bacon bits in bowl."", ""Combine diced vegetables in another bowl."", ""Pour into hot griddle/frying pan (a thin layer, enough for one omelette)."", ""Sprinkle vegetables over egg."", ""Cook until egg begins to lift."", ""Sprinkle small 1/3 of cheese over and fold omelette."", ""Place lid over and reduce heat to allow cheese to melt without burning egg."", ""Repeat for 2 more omelettes."")","[""6       eggs"",""1/4  cup    milk"",""1   pinch    salt"",""1   pinch    pepper"",""3   teaspoons    bacon bits"",""1      diced roma tomato (, or firm tomato)"",""5      finely diced mushrooms"","" finely diced vegetables (broccoli, shredded carrot, celery)"",""1   cup   shredded medium cheddar""]","[""milk"", ""salt"", ""pepper"", ""bacon bits"", ""diced roma tomato firm tomato"", ""mushrooms"", ""vegetables broccoli shredded carrot celery"", ""shredded medium cheddar""]",0,1
Solo Green Chili Cheese Omelette,"The green chili will add a little excitement to the breakfast table, and the cheese will add some dairy to the diets of those who find milk difficult to digest.","c(""2"", ""1"", ""1/3"", ""1"")","c(""eggs"", ""green chili salsa"", ""cheddar cheese"", ""butter"")",5.0,2.0,401.0,33.9,18.3,493.0,455.5,1.4,0.1,1.0,22.1,1.0,,"c(""Beat 2 whole eggs lightly until the yokes are broken up, but not totally homogenized."", ""Add jalapeno pepper or Green Salsa and beat for another 30 seconds."", ""Melt the butter in a frying pan and swirl until the bottom of the pan is totally covered."", ""Pour in the egg mixture, and lift the edges until it has have started to set and is no longer liquid Add cheese evenly over the eggs, and remove the pan from the heat."", ""Tip the pan towards the center of the plate and start to slide the eggs out."", 
""When half of the omelette is out of the pan, twist the pan so that the second half flops over the first half, covering the cheese inside."", ""Before serving, allow the folded omelette to sit for 30 seconds so that the cheese can melt."")","[""2       eggs"",""1   teaspoon   diced, prepared jalapeno peppers or 1   teaspoon   diced, prepared green chili salsa"",""1/3  cup   shredded cheddar cheese"",""1   tablespoon    butter""]","[""prepared jalapeno peppers green chili salsa"", ""shredded cheddar cheese""]",0,1
Crab Omelet,It seems that I often have crabmeat left over after making crab cakes or other crab dishes. This is a great way to use it up the following morning. This recipe can be halved.,"c(""6"", ""2"", NA, NA, ""6"", ""2"", ""1"", ""2"")","c(""parmesan cheese"", ""salt"", ""black pepper"", ""eggs"", ""water"", ""butter"", ""heavy whipping cream"")",5.0,7.0,460.8,33.2,16.4,649.1,1107.4,1.7,0.0,0.6,36.7,,,"c(""Mix the flaked crabmeat with the cheese and season with salt and pepper."", ""Lightly beat the eggs in a bowl with the water and salt and pepper."", ""Melt the butter in a small skillet and when the froth subsides, pour in the eggs."", ""Place the crab and cheese on top of the eggs just when the eggs are beginning to set."", ""Pour on the cream while the eggs are still liquid and transfer under a hot broiler for a few minutes until the top is golden brown."", ""Do not fold, but slide on to a hot plate and serve immediately.""
)","[""6   ounces   flaked crabmeat (, backfin recommended)"",""2   tablespoons   shredded parmesan cheese"",""  salt"","" freshly ground black pepper"",""6       eggs"",""2   tablespoons    water"",""1   ounce    butter"",""2   tablespoons    heavy whipping cream""]","[""flaked crabmeat"", ""shredded parmesan cheese"", ""ground black pepper"", ""whipping cream""]",0,1
Omelet Sandwiches,Make and share this Omelet Sandwiches recipe from Food.com.,"c(""16"", ""8"", ""16"", NA, ""3"", ""1/2"", ""6"", ""1/2"", ""1/2"")","c(""cheese"", ""ham"", ""butter"", ""margarine"", ""eggs"", ""salt"", ""dry mustard"")",5.0,4.0,626.5,39.4,15.2,224.3,1817.8,40.4,1.5,3.6,27.4,8.0,,"c(""Remove crusts from bread."", ""After buttering bread on both sides, place 8 slices in greased baking pan."", ""Top bread with 1 slice cheese and 2 slices ham."", ""Top with other 8 slices of buttered bread."", ""Pour the mixture of eggs, milk, salt, and mustard over sandwiches and refrigerate overnight."", ""Before baking, sprinkle with cornflake crumbs and margarine over top."", ""Bake at 350 for 1 hour."")","[""16   slices    sandwich bread"",""8   slices    cheese"",""16   slices    ham"",""  butter (for bread)"",""3   cups    corn flakes, crushed "",""1/2  cup    margarine, melted "",""6       eggs, beaten "",""1/2  teaspoon    salt"",""1/2  teaspoon    dry mustard""]","[""sandwich bread"", ""ham"", ""butter bread"", ""corn flakes"", ""margarine"", ""dry mustard""]",0,1
Guacamole Omelet,Make and share this Guacamole Omelet recipe from Food.com.,"c(""1/2"", ""1/2"", ""1"", ""3"", ""1"", ""2"", ""1"", NA)","c(""avocado"", ""lemon juice"", ""seasoning salt"", ""tomatoes"", ""eggs"", ""bottled water"")",,,324.9,24.9,5.3,423.0,182.7,13.2,7.8,3.9,15.4,1.0,1 yummy omelet,"c(""In small bowl, mash avocado until chunky."", ""Add lemon juice, seasoned salt, hot pepper sauce and tomato."", ""Mix well."", ""In a separate bowl, mix eggs, water and dash of salt and pepper."", ""Beat briskly."", ""Pour into hot nonstick skillet or omelet pan."", ""Stir with circular motion while shaking pan vigorously over heat."", ""Stir until eggs begin to set."", ""Let stand 2 to 3 seconds and shake pan."", ""Omelet should move freely."", ""Spoon avocado mixture over half of omelet."", ""Slip broad spatula under omelet and fold in half carefully.""
)","[""1/2      avocado, peeled "",""1/2  teaspoon    lemon juice"",""1   dash    seasoning salt"",""3   drops    hot pepper sauce"",""1   small    tomatoes, chopped "",""2       eggs"",""1   tablespoon    bottled water"",""  salt and pepper""]","[""avocado"", ""lemon juice"", ""seasoning"", ""hot pepper sauce"", ""tomatoes"", ""bottled water"", ""salt pepper""]",0,1
Irishman's Omelet,"I have cut the bacon back in this recipe - it originally called for 4 oz. For the omelete I like to add 1 tsp flour, 2 tbsp cottage cheese or sour cream &amp; 1/4 cup of milk to the eggs and beat well.  The omelete is lighter. Another trick is make this the day after you have made oven fries, make extra fries and then chop them into 1/2&quot; pieces and use instead of the boiled potato.","c(""3"", ""3/4"", ""1"", ""1"", ""2"", ""2"")","c(""bacon"", ""onion"", ""potato"", ""fresh parsley"", ""fresh chives"", ""eggs"")",5.0,3.0,676.0,40.9,13.4,469.2,725.1,51.1,6.6,7.7,26.2,1.0,,"c(""Fry the bacon until crisp and remove to a plate."", ""Drain most of the bacon grease from the pan."", ""Fry the onion in the remaining bacon fat until translucent."", ""Add potatoes, bacon, herbs."", ""Salt & pepper to taste."", ""Pour in the eggs cover and cook over medium heat until the eggs are set."", ""Flip onto a plate and serve."")","[""3   slices    bacon, rind trimmed and chopped in small pieces "",""3/4  cup   chopped onion"",""1   medium    potato, peeled, boiled \u0026 diced "",""1   tablespoon    fresh parsley, chopped "",""2   tablespoons    fresh chives, chopped "",""2       eggs""]","[""bacon rind"", ""chopped onion"", ""potato peeled"", ""fresh parsley chopped"", ""fresh chives chopped""]",0,1
Oven Denver Omelet,"You can make this the night before and it will be ready to put in the oven in the morning. It's a nice light, fluffy omelet.","c(""8"", ""1/2"", ""1"", ""1"", ""1/4"", ""1/4"", ""1/4"")","c(""eggs"", ""half-and-half"", ""cheddar cheese"", ""cooked ham"", ""green pepper"", ""onion"", ""parsley"")",5.0,68.0,262.8,18.9,9.0,296.4,233.8,2.5,0.2,0.8,19.8,,,"c(""Beat eggs and half and half until light and fluffy."", ""Stir in the cheese, ham, green pepper,onion and parsley."", ""Pour into a greased 9in square baking dish."", ""Bake at 400* for 25 minutes or until set."")","[""8       eggs"",""1/2  cup    half-and-half"",""1   cup   shredded cheddar cheese"",""1   cup   finely chopped cooked ham"",""1/4  cup   minced green pepper"",""1/4  cup   minced onion"",""1/4  teaspoon    parsley""]","[""shredded cheddar cheese"", ""chopped cooked ham"", ""minced green pepper"", ""minced onion"", ""parsley""]",0,1
Tortilla Espanola (Spanish Omelet),"In Mexico, the word tortilla has two meanings. One is the more familar corn or flour flat bread, and the other means omelet. Serve this omelet with a stack of the former, warmed in the oven while the omelet cooks.","c(""2"", ""1"", ""1"", ""3/4"", ""1/4"", ""2"", ""6"", ""1/3"", ""1/2"", ""1/8"")","c(""potatoes"", ""onion"", ""cooked ham"", ""salt"", ""dried chile pequins"", ""eggs"", ""milk"", ""salt"", ""pepper"")",4.5,2.0,429.3,21.1,5.9,351.8,873.8,36.6,4.5,3.2,23.1,,,"c(""Combine potatoes, onion, the 3/4 teaspoon salt, crushed chilies and ham."", ""Heat oil in a 10 inch ovenware skillet."", ""Add potatoe and ham mixture to skillet."", ""Cover and cook over med heat 15 minutes or until potatoes are tender, stirring occasionally."", ""Combine eggs, milk, 1/2 t. salt and pepper."", ""Pour over potatoes and ham in skillet."", ""Reduce heat and cook over low heat 8 to 10 minutes or until eggs are nearly set."", ""Uncover skillet and place under broiler 3 to 4 inches from heat 2 to 3 minutes or just until top is set.""
)","[""2   large    potatoes, peeled and finely chopped  (3 cups)"",""1   medium    onion, finely chopped "",""1   cup   diced cooked ham"",""3/4  teaspoon    salt"",""1/4  teaspoon   crushed dried chile pequins or 1/4  teaspoon   crushed red pepper"",""2   tablespoons    cooking oil"",""6      beaten eggs"",""1/3  cup    milk"",""1/2  teaspoon    salt"",""1/8  teaspoon    pepper""]","[""large potatoes"", ""onion"", ""cooked ham"", ""crushed dried chile pequins crushed red pepper"", ""cooking oil"", ""beaten eggs"", ""milk""]",0,1
Peach Omelette Souffle,Make and share this Peach Omelette Souffle recipe from Food.com.,"c(""1"", ""2"", ""1"", ""2"", ""2"")","c(""sugar"", ""eggs"", ""confectioners' sugar"")",5.0,1.0,237.2,9.9,3.1,372.0,142.1,24.2,2.2,22.0,13.9,1.0,,"c(""Mix the peach and jam in a small bowl, set aside."", ""In a small bowl, beat 1 teaspoon sugar with the egg yolks until pale and creamy (this takes a few minutes)."", ""In another bowl, beat egg whites until stiff."", ""Pour egg yolks over it, fold gently."", ""Heat a non-stick 7\"" skillet, spray with non-stick cooking spray; pour eggs into it."", ""Cook for a few minutes until lightly browned, transfer to a broiler and continue cooking until top is browned; watch carefully!"", ""Fill with the peach mixture and fold, sprinkle with icing sugar.""
)","[""1       peach, chopped "",""2   tablespoons    sugar-reduced peach jam, warmed "",""1   teaspoon    sugar"",""2       eggs, separated,at room temperature "",""2   teaspoons    confectioners\u0027 sugar""]","[""peach chopped"", ""sugar - reduced peach jam"", ""confectioners  sugar""]",0,1
Guinness Omelet,Make and share this Guinness Omelet recipe from Food.com.,"c(""6"", ""2 1/2"", ""1/2"", ""3"", ""3"")","c(""eggs"", ""unsalted butter"", ""parmesan cheese"")",5.0,3.0,397.9,22.9,11.3,457.9,229.9,11.5,0.0,0.8,16.0,3.0,,"c(""In a large mixing bowl, beat the eggs, broosky and hot pepper sauce with a whisk only until blended, not frothy."", ""In an 8½-inch omelette pan over medium heat, melt 1 tablespoon of the butter."", ""When the pan is hot enough that a drop of water spatters in it, pour 1/3 of the egg mixture into the pan."", ""Place one hand on the pan handle, palm down, and move the pan in a back-and-forth motion."", ""With the other hand, using a fork, stir the egg mixture in a circular motion, about seven times; sprinkle 1 tablespoon of the cheese onto the omelet."", 
""To turn out the omelet, place your hand on the handle with palm upward- tip the pan and roll the omelet out onto a plate."", ""Repeat twice with the remaining egg mixture."", ""Serve with additional hot pepper sauce, if desired."")","[""6   large    eggs"",""2 1/2  fluid ounces    Guinness stout (or your favourite broosky)"",""1/2  teaspoon    Pickapeppa Sauce (or other liquid hot pepper sauce)"",""3   tablespoons    unsalted butter"",""3   tablespoons    parmesan cheese""]","[""Pickapeppa Sauce hot pepper sauce"", ""unsalted butter"", ""parmesan cheese""]",0,1
