burger_name,burger_type,treatment_condition,overall_liking,sensory_hardness,sensory_chewiness,sensory_moistness,sensory_fibrousness,sensory_meatiness,sensory_fattiness,sensory_tastiness,sensory_softness,jar_moistness,jar_chewiness,jar_savoriness,jar_fattiness,jar_fibrousness
Bean,Plant,Control,3,37.0,81.0,48.0,76.0,25.0,69.0,82.0,48.0,1,1,3,2,2
Beyond,Plant,Control,2,52.0,31.0,28.0,43.0,69.0,27.0,25.0,81.0,2,3,1,2,2
Turkey,Animal,Treatment,5,32.0,51.0,25.0,44.0,77.0,20.0,,36.0,1,2,2,1,3
Beef,Animal,Control,3,45.0,54.0,62.0,,81.0,41.0,41.0,49.0,1,1,2,2,2
Beef,Animal,Treatment,3,39.0,76.0,35.0,23.0,26.0,20.0,25.0,42.0,2,1,3,2,3
Beef,Animal,Treatment,3,63.0,45.0,33.0,32.0,20.0,32.0,40.0,51.0,1,2,1,1,1
Beef,Animal,Treatment,2,46.0,45.0,31.0,17.0,83.0,59.0,51.0,45.0,1,2,1,2,1
Bean,Plant,Control,2,73.0,52.0,67.0,51.0,25.0,60.0,59.0,52.0,2,2,1,1,2
Beef,Animal,Treatment,4,50.0,66.0,62.0,52.0,74.0,48.0,63.0,48.0,2,2,2,3,2
Beef,Animal,Control,2,56.0,59.0,63.0,75.0,100.0,38.0,81.0,37.0,2,3,2,3,3
Beef,Animal,Control,2,60.0,58.0,49.0,59.0,83.0,49.0,90.0,54.0,2,1,2,2,2
Beyond,Plant,Treatment,3,25.0,53.0,68.0,21.0,35.0,59.0,71.0,69.0,2,2,1,2,1
Turkey,Animal,Control,6,82.0,90.0,38.0,88.0,75.0,25.0,49.0,48.0,1,1,1,1,1
Beef,Animal,Control,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Beef,Animal,Treatment,6,51.0,44.0,37.0,77.0,73.0,28.0,31.0,49.0,1,2,2,3,2
Beef,Animal,Treatment,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,69.0,2,2,2,2,1
Beef,Animal,Treatment,3,20.0,56.0,13.0,22.0,60.0,30.0,50.0,23.0,1,2,2,2,2
Beef,Animal,Treatment,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,68.0,2,2,2,2,1
Beef,Animal,Treatment,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Bean,Plant,Treatment,2,61.0,38.0,33.0,14.0,5.0,38.0,78.0,41.0,1,2,2,2,2
Beef,Animal,Control,2,75.0,77.0,80.0,72.0,78.0,74.0,76.0,73.0,2,2,2,2,2
Beyond,Plant,Treatment,3,65.0,55.0,49.0,52.0,38.0,17.0,56.0,30.0,2,2,1,1,2
Beyond,Plant,Treatment,4,72.0,76.0,64.0,61.0,48.0,75.0,66.0,45.0,2,2,2,3,2
Beyond,Plant,Treatment,1,32.0,26.0,63.0,49.0,82.0,22.0,100.0,56.0,2,2,2,2,2
Bean,Plant,Control,4,63.0,65.0,68.0,62.0,66.0,60.0,64.0,62.0,2,2,1,2,3
Beef,Animal,Treatment,2,49.0,37.0,19.0,10.0,54.0,87.0,33.0,78.0,1,1,1,3,1
Beyond,Plant,Control,3,45.0,58.0,57.0,62.0,71.0,67.0,70.0,65.0,2,2,2,2,2
Bean,Plant,Control,4,42.0,50.0,55.0,45.0,60.0,48.0,52.0,38.0,1,1,1,1,3
Turkey,Animal,Control,5,19.0,50.0,80.0,100.0,58.0,41.0,20.0,80.0,2,1,1,1,3
Turkey,Animal,Control,4,80.0,70.0,41.0,40.0,71.0,29.0,70.0,23.0,1,1,1,1,1
Beef,Animal,Treatment,1,39.0,60.0,38.0,10.0,100.0,34.0,82.0,43.0,2,2,2,2,2
Beef,Animal,Treatment,1,80.0,70.0,84.0,39.0,100.0,21.0,100.0,22.0,2,2,2,2,2
Beyond,Plant,Control,3,40.0,50.0,57.0,40.0,62.0,31.0,60.0,60.0,2,2,1,1,2
Bean,Plant,Treatment,3,30.0,75.0,0.0,50.0,70.0,32.0,50.0,68.0,1,2,1,2,2
Bean,Plant,Control,4,53.0,60.0,53.0,46.0,54.0,51.0,51.0,50.0,2,1,2,3,2
Beef,Animal,Control,1,52.0,,50.0,37.0,76.0,47.0,75.0,37.0,2,2,2,2,2
Beef,Animal,Control,4,49.0,50.0,50.0,50.0,40.0,52.0,53.0,83.0,2,2,2,2,2
Bean,Plant,Control,1,60.0,70.0,38.0,76.0,3.0,35.0,86.0,58.0,2,2,2,2,2
Beef,Animal,Control,1,46.0,53.0,47.0,47.0,50.0,42.0,62.0,61.0,2,2,1,2,1
Beyond,Plant,Control,6,19.0,77.0,80.0,46.0,21.0,66.0,40.0,87.0,3,3,2,3,2
Bean,Plant,Control,4,61.0,57.0,33.0,66.0,49.0,49.0,52.0,47.0,3,2,2,2,2
Turkey,Animal,Control,3,59.0,55.0,69.0,60.0,33.0,75.0,70.0,59.0,2,2,2,2,1
Turkey,Animal,Control,3,55.0,68.0,73.0,60.0,79.0,52.0,65.0,48.0,1,2,1,1,2
Bean,Plant,Treatment,2,71.0,74.0,76.0,69.0,75.0,70.0,72.0,68.0,2,2,2,1,2
Beef,Animal,Treatment,2,56.0,30.0,54.0,40.0,81.0,45.0,85.0,43.0,2,2,2,3,2
Bean,Plant,Treatment,4,42.0,50.0,55.0,45.0,60.0,48.0,52.0,38.0,1,1,1,1,3
Turkey,Animal,Control,3,58.0,65.0,71.0,62.0,76.0,55.0,68.0,50.0,1,2,1,1,2
Turkey,Animal,Treatment,3,58.0,65.0,71.0,62.0,76.0,55.0,69.0,50.0,1,2,1,1,2
Beyond,Plant,Treatment,3,68.0,70.0,72.0,65.0,69.0,64.0,67.0,71.0,2,2,2,2,2
Beef,Animal,Control,3,70.0,73.0,75.0,68.0,72.0,69.0,74.0,71.0,2,2,2,2,2
Beef,Animal,Treatment,4,59.0,51.0,64.0,50.0,92.0,60.0,56.0,38.0,2,2,2,2,2
Turkey,Animal,Treatment,5,50.0,59.0,34.0,36.0,72.0,39.0,53.0,38.0,1,2,1,1,3
Beyond,Plant,Control,2,42.0,33.0,57.0,50.0,92.0,12.0,93.0,46.0,2,2,2,2,2
Bean,Plant,Treatment,2,50.0,75.0,43.0,70.0,21.0,15.0,62.0,42.0,1,2,2,2,2
Beef,Animal,Treatment,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Beef,Animal,Treatment,5,90.0,80.0,50.0,5.0,60.0,5.0,10.0,20.0,1,3,1,1,2
Beef,Animal,Control,4,36.0,66.0,,53.0,71.0,49.0,52.0,53.0,2,2,2,2,2
Beyond,Plant,Treatment,6,45.0,34.0,40.0,29.0,55.0,50.0,34.0,24.0,1,1,1,1,3
Turkey,Animal,Treatment,4,59.0,60.0,45.0,66.0,72.0,42.0,50.0,36.0,2,2,2,2,2
Turkey,Animal,Treatment,2,73.0,70.0,68.0,75.0,72.0,69.0,78.0,71.0,2,2,2,1,3
Beef,Animal,Control,4,68.0,57.0,32.0,32.0,63.0,20.0,34.0,28.0,1,2,1,1,3
Beef,Animal,Control,2,59.0,65.0,50.0,46.0,66.0,68.0,81.0,42.0,2,2,2,2,2
Bean,Plant,Control,5,34.0,31.0,18.0,61.0,15.0,16.0,30.0,18.0,1,1,1,1,3
Bean,Plant,Control,3,60.0,65.0,55.0,67.0,29.0,9.0,75.0,38.0,2,2,2,2,2
Beef,Animal,Treatment,5,78.0,80.0,65.0,60.0,55.0,42.0,50.0,32.0,2,3,2,1,3
Beef,Animal,Treatment,3,51.0,50.0,28.0,53.0,74.0,31.0,63.0,78.0,2,2,2,2,2
Beyond,Plant,Treatment,3,49.0,57.0,54.0,52.0,61.0,58.0,57.0,57.0,2,2,2,2,2
Beyond,Plant,Treatment,3,67.0,79.0,66.0,50.0,70.0,75.0,66.0,47.0,1,2,2,3,2
Beyond,Plant,Control,6,64.0,66.0,47.0,50.0,80.0,52.0,32.0,55.0,1,1,1,1,1
Turkey,Animal,Control,3,52.0,62.0,69.0,58.0,73.0,50.0,62.0,45.0,1,2,1,1,2
Beef,Animal,Treatment,2,66.0,64.0,45.0,54.0,61.0,36.0,70.0,47.0,1,3,2,1,2
Beef,Animal,Control,1,9.0,33.0,73.0,23.0,79.0,16.0,74.0,14.0,2,2,2,2,2
Beyond,Plant,Treatment,4,57.0,46.0,54.0,50.0,82.0,65.0,72.0,53.0,2,3,1,1,1
Beef,Animal,Control,3,55.0,72.0,58.0,11.0,50.0,79.0,,,2,2,2,3,1
Beef,Animal,Treatment,2,85.0,88.0,90.0,82.0,87.0,84.0,83.0,86.0,2,2,2,3,1
Turkey,Animal,Treatment,3,66.0,50.0,72.0,100.0,48.0,67.0,79.0,11.0,2,3,1,1,2
Beef,Animal,Treatment,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Beef,Animal,Control,5,37.0,38.0,46.0,30.0,83.0,71.0,73.0,55.0,2,2,2,3,1
Turkey,Animal,Treatment,2,25.0,41.0,49.0,22.0,63.0,18.0,74.0,66.0,1,2,1,2,3
Beef,Animal,Treatment,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,69.0,2,2,2,2,1
Beef,Animal,Control,1,35.0,42.0,55.0,50.0,43.0,55.0,55.0,58.0,2,2,1,3,2
Bean,Plant,Treatment,3,59.0,48.0,51.0,74.0,31.0,40.0,68.0,55.0,2,2,2,2,3
Turkey,Animal,Control,2,54.0,29.0,26.0,28.0,60.0,27.0,29.0,32.0,1,1,1,1,1
Beef,Animal,Treatment,2,39.0,43.0,55.0,49.0,55.0,58.0,59.0,58.0,2,2,1,2,2
Turkey,Animal,Control,3,59.0,64.0,31.0,35.0,85.0,23.0,62.0,53.0,2,1,1,2,2
Bean,Plant,Control,5,52.0,55.0,57.0,50.0,54.0,48.0,53.0,51.0,2,1,3,2,3
Beyond,Plant,Control,4,66.0,62.0,59.0,24.0,85.0,60.0,69.0,55.0,2,2,2,2,2
Beef,Animal,Treatment,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Turkey,Animal,Control,3,57.0,63.0,69.0,61.0,74.0,54.0,66.0,52.0,1,2,1,1,2
Bean,Plant,Treatment,3,73.0,43.0,22.0,43.0,10.0,7.0,62.0,51.0,1,1,2,1,2
Bean,Plant,Control,2,57.0,62.0,57.0,,27.0,53.0,60.0,41.0,2,3,2,2,3
Beyond,Plant,Control,3,68.0,65.0,62.0,70.0,67.0,72.0,60.0,64.0,2,2,2,2,3
Bean,Plant,Treatment,4,45.0,52.0,58.0,48.0,62.0,50.0,55.0,40.0,1,1,1,1,3
Turkey,Animal,Control,3,58.0,65.0,71.0,62.0,76.0,55.0,69.0,50.0,1,2,1,1,2
Turkey,Animal,Treatment,2,74.0,63.0,91.0,57.0,73.0,79.0,67.0,59.0,2,2,2,3,2
Beyond,Plant,Control,4,,35.0,35.0,32.0,36.0,31.0,62.0,48.0,2,2,2,3,2
Turkey,Animal,Control,3,23.0,44.0,34.0,30.0,71.0,47.0,58.0,32.0,1,2,2,2,2
Beef,Animal,Treatment,2,76.0,78.0,81.0,73.0,79.0,75.0,77.0,74.0,2,2,2,2,1
Bean,Plant,Treatment,4,42.0,50.0,55.0,46.0,60.0,44.0,50.0,38.0,1,1,1,1,3
Beef,Animal,Control,2,69.0,81.0,84.0,74.0,88.0,62.0,79.0,71.0,2,2,2,2,1
Beyond,Plant,Treatment,3,69.0,63.0,33.0,58.0,76.0,78.0,75.0,49.0,2,2,1,2,2
Beef,Animal,Treatment,5,8.0,50.0,6.0,14.0,69.0,28.0,10.0,33.0,1,3,1,1,2
Beyond,Plant,Treatment,3,67.0,63.0,60.0,70.0,65.0,72.0,62.0,68.0,2,2,2,2,3
Beef,Animal,Control,5,80.0,44.0,19.0,25.0,74.0,25.0,31.0,23.0,1,1,1,2,2
Bean,Plant,Treatment,3,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,2,2,2,2,2
Beef,Animal,Treatment,1,11.0,33.0,92.0,27.0,84.0,42.0,97.0,79.0,2,2,2,2,2
Beef,Animal,Control,3,45.0,82.0,55.0,55.0,100.0,74.0,65.0,77.0,1,2,2,2,1
Beef,Animal,Treatment,2,35.0,63.0,60.0,11.0,87.0,72.0,81.0,72.0,2,2,2,2,2
Bean,Plant,Control,3,61.0,66.0,25.0,73.0,3.0,21.0,71.0,57.0,2,2,2,2,2
Beyond,Plant,Treatment,4,61.0,63.0,66.0,60.0,64.0,58.0,62.0,60.0,2,1,2,2,3
Beef,Animal,Control,1,87.0,90.0,93.0,85.0,91.0,88.0,86.0,92.0,2,2,2,3,1
Turkey,Animal,Control,4,64.0,76.0,23.0,31.0,55.0,58.0,45.0,49.0,1,1,1,1,1
Beef,Animal,Control,2,78.0,80.0,82.0,75.0,83.0,77.0,76.0,79.0,2,2,2,2,1
Bean,Plant,Treatment,2,38.0,66.0,47.0,68.0,42.0,49.0,100.0,56.0,2,2,1,2,2
Bean,Plant,Control,4,44.0,52.0,57.0,47.0,62.0,46.0,50.0,40.0,1,1,1,1,3
Beyond,Plant,Control,4,74.0,55.0,60.0,53.0,54.0,57.0,62.0,61.0,2,1,2,1,2
Bean,Plant,Control,4,42.0,50.0,55.0,45.0,60.0,48.0,52.0,38.0,1,1,1,1,3
Beef,Animal,Treatment,4,24.0,50.0,35.0,34.0,80.0,47.0,76.0,40.0,2,2,2,2,2
Bean,Plant,Control,4,40.0,48.0,53.0,43.0,58.0,44.0,48.0,36.0,1,1,1,1,3
Bean,Plant,Treatment,1,88.0,85.0,82.0,87.0,84.0,90.0,86.0,83.0,3,2,1,2,2
Beef,Animal,Control,3,30.0,70.0,80.0,20.0,91.0,20.0,70.0,70.0,2,2,1,1,2
Bean,Plant,Control,2,72.0,68.0,65.0,70.0,73.0,67.0,75.0,66.0,2,2,2,2,3
Bean,Plant,Control,4,54.0,56.0,59.0,53.0,51.0,51.0,63.0,43.0,2,3,3,3,3
Beyond,Plant,Control,4,35.0,54.0,68.0,54.0,58.0,60.0,60.0,44.0,2,2,1,2,2
Beef,Animal,Treatment,1,66.0,82.0,85.0,77.0,92.0,63.0,79.0,70.0,2,2,2,2,1
Beef,Animal,Control,3,41.0,46.0,80.0,27.0,100.0,85.0,62.0,76.0,2,2,2,3,2
Beef,Animal,Control,3,49.0,83.0,33.0,36.0,79.0,74.0,85.0,47.0,2,2,2,2,2
Beyond,Plant,Treatment,6,40.0,31.0,38.0,24.0,50.0,45.0,29.0,19.0,1,1,1,1,3
